848;TECNO TOOL SAS;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;AV 2 No 1-08;8600302
849;TECNYSUM E.U;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No. 8-04;8757344
850;TELMEX HOGAR S.A.;TELECOMUNICACIONES;61;TELECOMUNICACIONES;CLL 8 No. 2 B-08;8601815
851;TELMEX TELECOMUNICACIONES S A E S P;TELECOMUNICACIONES;61;TELECOMUNICACIONES;CLL 5 2 40;3112630271
852;TIENDA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 6 No 4-36;8601440
853;TIENDA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CLL 5 No. 2-24/40;3112627725
854;TIENDA BUENAVISTA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CRA 6 No.1A 16;8601722
855;TIENDA CARTAGENA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CLL 11A No. 9A-76;6500300
856;TIENDA CARTAGENITA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CR 7 No. 63 - 44;6069606
857;TIENDA CHIQUITA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;K 7 No 8-14;3125665685
858;TIENDA DARCY;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CALLE 2 No. 3 ESTE 11;20677112
859;TIENDA DON PEDRO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;BUENOS AIRES LOS PINOS;8741939
860;TIENDA DOÑA FLOR;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;SAN CAYETANO;
861;TIENDA EL ALMACEN;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;VEREDA LA AURORA;3123952792
862;TIENDA EL CANTINAZO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;FCA  SANTA ANA  KM 7 ;3133961310
863;TIENDA EL DILUBIO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;LA TOMA;8602641
864;TIENDA EL GRANADILLO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;KM 17 VIA SOPO;8606398
865;TIENDA EL GRANO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CRA 4 No. 2-90;3115823562
866;TIENDA EL PARAISO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;BUENOS AIRES ALTO;8605857
867;TIENDA EL PORRASO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;SANTA HELENA-FCA EL ARRAYAN;8602035
868;TIENDA EL PORVENIR;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;BUENOS AIRES;
869;TIENDA EL PROGRESO ;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;VDA BUENOS AIRES BAJO;3103205369
870;TIENDA EL REFUGIO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;MUNDO NUEVO;86025176
871;TIENDA EL RINCONCITO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;BUENOS AIRES BAJO;3203121834
872;TIENDA EL ROCIO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;VEREDA EL RODEO FINCA LA UNION;8602271
873;TIENDA EL TOLIMO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;TUNJAQUE;
874;TIENDA EL TRIUNFO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;EL SALITRE;8609523
875;TIENDA EL VENADILLO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 6 No 5-20;8602502
876;TIENDA LA ESMERALDA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;VEREDA SAN CAYETANO;
877;TIENDA LA ESPERANZA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;QUISQUIZA;314749933
878;TIENDA LA FLORIDA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 5 No 5-88;8601719
879;TIENDA LA MENCHA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;EL TRIUNFO;8606407
880;TIENDA LA PEÑITA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;K 2B No 8-59;8757201
881;TIENDA LA RIOJA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;AURORA ALTA;
882;TIENDA LA TOMA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;K 4 No 2-23;8600392
883;TIENDA LA TOMA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CARRERA 6 A No. 1 - 38;8602493
884;TIENDA LOS ALPES;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 5 No 5A-07 B. AJEDREZ;8751654
885;TIENDA LOS PINOS;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CALLE 4 NO. 3 - 30;3204427462
886;TIENDA LOS TRES AMIGOS;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 6 No 3-27;8600450
887;TIENDA MARIA SALOME;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;LA TOMA;8602825
888;TIENDA MI CABAÑITA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;VDA LA TOMA;8602825
889;TIENDA MI LAURITA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;LA AURORA ALTA;3218866198
890;TIENDA NATURISTA TRIGO VERDE;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CR 4 No. 9  -32;8757684
891;TIENDA PAGUE MENOS;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;EL HATO;8608471
892;TIENDA PANADERIA SOL Y LUNA;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;VEREDA LA AURORA FINCA EL RUBI;5276307
893;TIENDA SAN VICENTE;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;SANTA HELENA;3202344179
894;TIENDA TORRES;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;AV 2 No. 9-04;314491854
895;TIENDA TRES ESQUINAS;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 4 No 4-57 / CRA 5 No. 3-98 esquina;8603220
896;TIENDA TRES ESQUINAS;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CARRERA 4 No. 5-38;8602625
897;TIENDA Y FLORISTERIA LORENA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;EL TRIUNFO;8606604
898;TIENDA Y LICORES FONDO BLANCO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 7 No 4-37;8601356
899;TIENDAS MULTIMARCAS DE COLOMBIA F.L      S.A.S;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 3 No 4-70;8757696
900;TINTO Y GUARO;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;LA AURORA ALTA;52416687
901;TODOPTICA Y OPTOMETRIA;OPTICA;47;COMERCIO AL POR MENOR;EL HATO;8608546
902;TOLIMO COMIDA Y BEBIDAS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 6 No 5-39;8601529
903;TOP CAR WASH ;AUTOLAVADOS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CR2 No. 8 - 82;8600099
904;TRANSELECTROASOCIADOS LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 7 No. 2 - 73;8757057
905;TRANSFORMEMOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 5-16;8602851
906;TRANSPORTADORA;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";CALLE 6 No. 3 - 39 LOCAL 102;8602238
907;TRANSPORTE ANGELICA MARIA;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";PLAZA DE MERCADO EXTERIOR 7;3144036712
908;TRANSPORTE DE CARGA;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";AVENIDA 2 No. 1-04;3118793952
909;TRANSPORTE LA CALERA TRANSCALERA LTDA;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";Av 2 No. 2 04;
910;TRANSPORTES JD E.U;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";KM 8 VIA LA CALERA URB RIO GRANDE CASA 5;8609852
911;TRANSPORTES JUAN CARLOS ESCOBAR;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";CRA. 22 No. 02 - 08 BARRIO FLANDES;3115918924
912;TRASEGAR SERVICIOS LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 134 No. 9 51 LC 160;6336013
913;TRES ESQUINAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;FINCA LA FLORESTA VEREDA EL TRIUNFO;8600464
914;TU ESTACION;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 6 No. 4-53;8757204/8600166
915;TYH COMPUTADORES L.T.D.A;TELECOMUNICACIONES;61;TELECOMUNICACIONES;CLL 9 No.1-63 ;8603330
916;URIEL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 3 BIS No.  3 -  78;8600892
917;VARIEDADES CHIKY;MISCELÁNEA;47;COMERCIO AL POR MENOR;CALLE 8 N0 3 - 04;
918;VARIEDADES DAYIS;MISCELÁNEA;47;COMERCIO AL POR MENOR;CLL 5 No. 2-35-70;3112627725
919;VARIEDADES DIANA;MISCELÁNEA;47;COMERCIO AL POR MENOR;KM 19 VIA SOPO;8602382
920;VARIEDADES ECLIPSE;MISCELÁNEA;47;COMERCIO AL POR MENOR;AV 2 No 9-24;3125547914
921;VARIEDADES ÉXITO;MISCELÁNEA;47;COMERCIO AL POR MENOR;CRA 4 No. 8-60;8752030
922;VARIEDADES JULY;MISCELÁNEA;47;COMERCIO AL POR MENOR;VDA LA AURORA SECTOR  ESCUELA FINCA LA ESPERANZA ;8606629
923;VARIEDADES KAREN;MISCELÁNEA;47;COMERCIO AL POR MENOR;VEREDA LA PORTADA FINCA ALEJANDRA  VIA CALERA SOPO ;8604289
924;VARIEDADES LA ALEGRIA DE VIVIR;MISCELÁNEA;47;COMERCIO AL POR MENOR;AV 2 No 6-60;8600107
925;VARIEDADES LA CALERA;MISCELÁNEA;47;COMERCIO AL POR MENOR;AVEMIDA 2B No. 8-19;3132617310
926;VARIEDADES LA CALERA;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 5 No 3-61;8600434
927;VARIEDADES LINA'S;MISCELÁNEA;47;COMERCIO AL POR MENOR;CALLE 8 nNo. 2 A - 37;8757394
928;VARIEDADES LORENA;MISCELÁNEA;47;COMERCIO AL POR MENOR;K 4 No 3-15;3112197577 / 8757134
929;VARIEDADES MAGDANIS;MISCELÁNEA;47;COMERCIO AL POR MENOR;K 4 No 7-45;3103049757
930;VARIEDADES MIL;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 7 No 2-96;3133485724
931;VARIEDADES PLUTON;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 7 No 2 -73;8601687
932;VARIEDADES SORANGIE;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 9 No 2B-03;8757207
933;VENTA GOLOSINAS;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 7 No 2-98;8757154/3112197577
934;VERFUCARNES LA CENTRAL;MISCELÁNEA;47;COMERCIO AL POR MENOR;CALLE6 No. 5-55;3152426582
935;VETERINARIA EL BOTALON ;VETERINARIA;75;ACTIVIDADES VETERINARIAS;CALLE 5 No. 4-06;8757664
936;VETERINARIA EL OSO;VETERINARIA;75;ACTIVIDADES VETERINARIAS;C 2A No 5-22;8603953
937;VETERINARIA PEQUEÑOS GIGANTES;VETERINARIA;75;ACTIVIDADES VETERINARIAS;K 4 No 7-80;3133673794
938;VIDRIOS LA AVENIDA;VIDRIERIA;47;COMERCIO AL POR MENOR;C 7 No 2-17;3132100436
939;VIDRIOS Y ALUMINIOS IDEAR;VIDRIERIA;47;COMERCIO AL POR MENOR;K 5 No 8-75;8603662
940;VIEJO TRIBI;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 7 EL LIBANO;8608340
941;VILLA ADRIANA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 9 -40;8757476
942;VILLAS DE MARQUEZ S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2A No. 3-45;8606035
943;VILLAS DE RIO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AVENIDA 2 No. 1 - 74;2320309
944;VIVERO;VIVERO ;1;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;CLL 5 No. 2-24;8600977
945;VIVERO EL ALTO;VIVERO ;1;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;AURORA ALTA;8757310
946;VIVERO HABLEMOS DE PLANTAS;VIVERO ;1;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;EL TRIUNFO;8606415
947;VIVERO LAS ACASIAS;VIVERO ;1;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;AV CLL 82  1033 OF 1001;2570266
948;VIVERO LAS MARGARITAS;VIVERO ;1;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;LA PORTADA;8603631
949;VIVERO Y MATERAS;VIVERO ;1;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;KM 6,7 VIA LA CALERA VILLA BEATRIZ III;8609654
950;VIVIERO LOS NARANJOS HNOS CARO;VIVERO ;1;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;VEREDA SAN JOSE LAS MERCEDES;8600747
951;VULCANIZADORA PIEL ROJA;FABRICA;25;FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;VEREDA SAN RAFAEL KM 13 VIA LACALERA ;8609692
952;WOMAN MEN  YADIRA PRIETO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VEREDA SAN CAYETANO;3208369198
953;X ZONE ENTERTAINMENT;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VEREDA LA AURORA FINCA LOMITAS STRA ARENAS;5268422
954;XBOX ANDRESITO;VIDEO JUEGOS;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;KM 13 VIA LA CALERA;8609858
955;XPERIENCIA EU;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 5 No. 3-66;3134589136
956;CEMENTING LTDA;CONSTRUCCION;43;ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCIÓN DE EDIFICIOS Y OBRAS DE INGENIERIÍA CIVIL;CRA 11 No. 112-65 OF 101 BOGOTA D.C;6299004/8600232
957;COMPAÑÍA AMERICANA DE MULTISERVICIOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 3-93;3202034221
958;DIAGNOSTICOS Y ESTACION DE SERVICIOS LA POPA I CIA LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 9 VIA LA CALERA;3108595982
959;HAPPY BEES JARDIN INFANTIL;JARDIN INFANTIL;85;EDUCACION;AV 2 No 9-39;
